John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
AAA AAA;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-20;2
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-20;2
BBB BBB;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-20;2
CCC CCC;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-20;2
AAA AAA;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-11-20;2
AAA AAA;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-13-20;7
